,hash,URI,malware_class
0,0a37f086841ff927ec8bee9f3bdb1048ecfba54b09aea400e980bd3ef301519d,http://205.174.165.80/CICDataset/MalDroid-2020/Dataset/Capturing_logs/Adware/0A37F086841FF927EC8BEE9F3BDB1048ECFBA54B09AEA400E980BD3EF301519D.tar.gz,Adware
1,0ac4aa9b5413666a2bd66b96faa0cc8e656144ffcd351101071f8d028970befa,http://205.174.165.80/CICDataset/MalDroid-2020/Dataset/Capturing_logs/Adware/0AC4AA9B5413666A2BD66B96FAA0CC8E656144FFCD351101071F8D028970BEFA.tar.gz,Adware
2,0ac36a24aa3dd7e8bd7f009ab6115481812ed053c8b81967b0796a8d2f098b73,http://205.174.165.80/CICDataset/MalDroid-2020/Dataset/Capturing_logs/Adware/0AC36A24AA3DD7E8BD7F009AB6115481812ED053C8B81967B0796A8D2F098B73.tar.gz,Adware
3,0ac59f02f886c015e0f15c0d0bead2fbfcc3e587d4bb216d73c457062d20e904,http://205.174.165.80/CICDataset/MalDroid-2020/Dataset/Capturing_logs/Adware/0AC59F02F886C015E0F15C0D0BEAD2FBFCC3E587D4BB216D73C457062D20E904.tar.gz,Adware
4,0af93460eb34961e2368a829b874086dde456b833579224bc07b5309a6cb5268,http://205.174.165.80/CICDataset/MalDroid-2020/Dataset/Capturing_logs/Adware/0AF93460EB34961E2368A829B874086DDE456B833579224BC07B5309A6CB5268.tar.gz,Adware
5,0b17b3558298b00f35d8425a57bae908f6c10d164f4b32e6cae2130f64c3d3d5,http://205.174.165.80/CICDataset/MalDroid-2020/Dataset/Capturing_logs/Adware/0B17B3558298B00F35D8425A57BAE908F6C10D164F4B32E6CAE2130F64C3D3D5.tar.gz,Adware
6,0b863f6214fe26efb3a3745e75cc5b7749631e49530cf73842ff125b75ce4531,http://205.174.165.80/CICDataset/MalDroid-2020/Dataset/Capturing_logs/Adware/0B863F6214FE26EFB3A3745E75CC5B7749631E49530CF73842FF125B75CE4531.tar.gz,Adware
7,0b1297cce41b1ed3df817a2aa6f9b95d1dc24556d29645d112e665d6039ba896,http://205.174.165.80/CICDataset/MalDroid-2020/Dataset/Capturing_logs/Adware/0B1297CCE41B1ED3DF817A2AA6F9B95D1DC24556D29645D112E665D6039BA896.tar.gz,Adware
8,0b107781a39f0db90a8f58cfee39e519160d0dbead210adc843ce13807f6b371,http://205.174.165.80/CICDataset/MalDroid-2020/Dataset/Capturing_logs/Adware/0B107781A39F0DB90A8F58CFEE39E519160D0DBEAD210ADC843CE13807F6B371.tar.gz,Adware
9,0b33469936791db785e8546bb752aa75de4c3227293a4237249dbd05fc12d039,http://205.174.165.80/CICDataset/MalDroid-2020/Dataset/Capturing_logs/Adware/0B33469936791DB785E8546BB752AA75DE4C3227293A4237249DBD05FC12D039.tar.gz,Adware
10,0c0bee91dee2cdbd3e5321331d756396946982dfe13af891cf1ecee5cc6a24bb,http://205.174.165.80/CICDataset/MalDroid-2020/Dataset/Capturing_logs/Adware/0C0BEE91DEE2CDBD3E5321331D756396946982DFE13AF891CF1ECEE5CC6A24BB.tar.gz,Adware
11,0c55e9aa42fa080df1266d5d9a1e9ee29cd200284bc1e7bb5f77e27c507320df,http://205.174.165.80/CICDataset/MalDroid-2020/Dataset/Capturing_logs/Adware/0C55E9AA42FA080DF1266D5D9A1E9EE29CD200284BC1E7BB5F77E27C507320DF.tar.gz,Adware
12,0c602ee784dd9c06cb8ba7b6a8c983731e53dc8d5e06090d8f0b211444d6cae2,http://205.174.165.80/CICDataset/MalDroid-2020/Dataset/Capturing_logs/Adware/0C602EE784DD9C06CB8BA7B6A8C983731E53DC8D5E06090D8F0B211444D6CAE2.tar.gz,Adware
